 Timecode, m      
11/05/2023 16:08,5.379.867
11/05/2023 16:08,5.370.640
11/05/2023 16:08,5.373.716
11/05/2023 16:08,5.379.867
11/05/2023 16:08,5.396.782
11/05/2023 16:08,5.335.259
11/05/2023 16:08,5.250.597
11/05/2023 16:08,5.204.383
11/05/2023 16:08,5.230.574
11/05/2023 16:08,5.364.487
11/05/2023 16:08,5.406.007
11/05/2023 16:09,5.359.873
11/05/2023 16:09,5.304.482
11/05/2023 16:09,5.224.412
11/05/2023 16:09,5.210.546
11/05/2023 16:09,5.298.325
11/05/2023 16:09,5.310.638
11/05/2023 16:09,5.262.916
11/05/2023 16:09,5.347.567
11/05/2023 16:09,5.421.379
11/05/2023 16:09,5.415.231
11/05/2023 16:09,5.424.454
11/05/2023 16:09,5.427.528
11/05/2023 16:09,5.409.081
11/05/2023 16:09,5.361.411
11/05/2023 16:09,5.341.413
11/05/2023 16:09,5.332.182
11/05/2023 16:09,5.225.953
11/05/2023 16:09,5.247.517
11/05/2023 16:09,5.342.952
11/05/2023 16:09,5.455.191
11/05/2023 16:09,5.507.422
11/05/2023 16:09,5.427.528
11/05/2023 16:09,5.327.566
11/05/2023 16:09,5.324.488
11/05/2023 16:09,5.309.099
11/05/2023 16:09,5.275.234
11/05/2023 16:09,5.275.234
11/05/2023 16:09,5.372.178
11/05/2023 16:09,5.409.081
11/05/2023 16:09,5.349.105
11/05/2023 16:09,5.315.255
11/05/2023 16:09,5.315.255
11/05/2023 16:09,5.287.550
11/05/2023 16:09,5.299.865
11/05/2023 16:09,5.278.313
11/05/2023 16:09,5.238.276
11/05/2023 16:09,5.284.471
11/05/2023 16:09,5.353.720
11/05/2023 16:09,5.392.169
11/05/2023 16:09,5.326.027
11/05/2023 16:09,5.247.517
11/05/2023 16:09,5.256.757
11/05/2023 16:09,5.307.560
11/05/2023 16:09,5.306.021
11/05/2023 16:09,5.399.857
11/05/2023 16:09,5.470.556
11/05/2023 16:09,5.384.480
11/05/2023 16:09,5.321.411
11/05/2023 16:09,5.350.644
11/05/2023 16:09,5.369.102
11/05/2023 16:09,5.316.794
11/05/2023 16:09,5.330.643
11/05/2023 16:09,5.386.018
11/05/2023 16:09,5.441.360
11/05/2023 16:09,5.425.991
11/05/2023 16:09,5.369.102
11/05/2023 16:09,5.389.094
11/05/2023 16:09,5.406.007
11/05/2023 16:09,5.370.640
11/05/2023 16:09,5.392.169
11/05/2023 16:10,5.413.693
11/05/2023 16:10,5.347.567
11/05/2023 16:10,5.261.377
11/05/2023 16:10,5.229.033
11/05/2023 16:10,5.275.234
11/05/2023 16:10,5.396.782
11/05/2023 16:10,5.490.527
11/05/2023 16:10,5.444.434
11/05/2023 16:10,5.341.413
11/05/2023 16:10,5.249.057
11/05/2023 16:10,5.187.432
